ncaa_id,TeamFull,Conference
654,Southeast Missouri State Redhawks,OVC WBB
655,Southeastern Louisiana Lady Lions,Southland WBB
665,Southern Jaguars,SWAC WBB
663,SMU Mustangs,AAC WBB
667,Southern Utah Thunderbirds,WAC WBB
596,St. Bonaventure Bonnies,A-10 WBB
674,Stanford Cardinal,Pac-12 WBB
676,Stephen F. Austin Ladyjacks,WAC WBB
678,Stetson Hatters,A-Sun WBB
682,Stonehill Skyhawks,NEC WBB
683,Stony Brook Seawolves,CAA WBB
688,Syracuse Orange,ACC WBB
690,Temple Owls,AAC WBB
694,Tennessee Lady Volunteers,SEC WBB
692,Tennessee Tech Golden Eagles,OVC WBB
703,Texas Longhorns,Big 12 WBB
697,Texas A&M Aggies,SEC WBB
699,Texas Southern Tigers,SWAC WBB
670,Texas State Bobcats,Sun Belt WBB
700,Texas Tech Lady Raiders,Big 12 WBB
709,Toledo Rockets,MAC WBB
711,Towson Tigers,CAA WBB
716,Troy Trojans,Sun Belt WBB
718,Tulane Green Wave,AAC WBB
719,Tulsa Golden Hurricane,AAC WBB
9,UAB Blazers,CUSA WBB
108,UC-Davis Aggies,Big West WBB
109,UC-Irvine Anteaters,Big West WBB
111,UC-Riverside Highlanders,Big West WBB
112,UC-San Diego Tritons,Big West WBB
104,UCSB Gauchos,Big West WBB
110,UCLA Bruins,Pac-12 WBB
456,UNC Asheville Bulldogs,Big South WBB
459,UNC Greensboro Spartans,Southern WBB
732,Utah Utes,Pac-12 WBB
30095,Utah Tech Trailblazers,WAC WBB
30024,Utah Valley Wolverines,WAC WBB
735,Valparaiso Beacons,MVC WBB
736,Vanderbilt Commodores,SEC WBB
738,Vermont Catamounts,AEC WBB
739,Villanova Wildcats,Big East WBB
746,Virginia Cavaliers,ACC WBB
740,VCU Rams,A-10 WBB
742,Virginia Tech Hokies,ACC WBB
748,Wagner Seahawks,NEC WBB
749,Wake Forest Demon Deacons,ACC WBB
756,Washington Huskies,Pac-12 WBB
754,Washington State Cougars,Pac-12 WBB
758,Weber State Wildcats,Big Sky WBB
768,West Virginia Mountaineers,Big 12 WBB
769,Western Carolina Lady Catamounts,Southern WBB
771,Western Illinois Leathernecks,Summit WBB
774,Western Michigan Broncos,MAC WBB
782,Wichita State Shockers,AAC WBB
786,William & Mary Tribe,CAA WBB
792,Winthrop Eagles,Big South WBB
796,Wisconsin Badgers,Big Ten WBB
2915,Wofford Terriers,Southern WBB
811,Wyoming Cowgirls,MWC WBB
812,Xavier Musketeers,Big East WBB
813,Yale Bulldogs,Ivy WBB
43,Austin Peay Lady Govs,OVC WBB
14927,Belmont Bruins,OVC WBB
81,Bryant Bulldogs,NEC WBB
136,Chicago State Cougars,WAC WBB
270,Hampton Pirates,Big South WBB
272,Hartford Hawks,AEC WBB
302,UIC Flames,Horizon WBB
317,James Madison Dukes,CAA WBB
346,Lamar Lady Cardinals,WAC WBB
388,Marshall Thundering Herd,CUSA WBB
439,Monmouth Hawks,MAAC WBB
450,Mount St. Mary's Mountaineers,NEC WBB
454,Murray State Racers,OVC WBB
523,Old Dominion Lady Monarchs,CUSA WBB
667,Southern Utah Thunderbirds,Big Sky WBB
683,Stony Brook Seawolves,AEC WBB
2,Abilene Christian Wildcats,Southland WBB
6,Alabama A&M Bulldogs,SWAC WBB
7,Alabama State Hornets,SWAC WBB
17,Alcorn State Braves,SWAC WBB
43,Austin Peay Governors,OVC WBB
1004,Central Arkansas Bears,Southland WBB
48,Charleston Southern Buccaneers,Big South WBB
202,Eastern Kentucky Colonels,OVC WBB
249,George Washington Revolutionaries,A-10 WBB
253,Georgia Southern Eagles,Sun Belt WBB
261,Grambling Tigers,SWAC WBB
277,Hawaii Rainbow Warriors,Big West WBB
346,Lamar Cardinals,Southland WBB
355,Liberty Flames,A-Sun WBB
366,Louisiana Tech Bulldogs,CUSA WBB
381,Manhattan Jaspers,MAAC WBB
400,UMass Minutemen,A-10 WBB
402,McNeese State Cowboys,Southland WBB
432,Mississippi Valley State Delta Devils,SWAC WBB
474,New Orleans Privateers,Southland WBB
508,Northwestern State Demons,Southland WBB
521,Oklahoma State Cowboys,Big 12 WBB
523,Old Dominion Monarchs,CUSA WBB
617,St. Peter's Peacocks,MAAC WBB
624,Sam Houston State Bearkats,Southland WBB
655,Southeastern Louisiana Lions,Southland WBB
676,Stephen F. Austin Lumberjacks,Southland WBB
694,Tennessee Volunteers,SEC WBB
700,Texas Tech Red Raiders,Big 12 WBB
769,Western Carolina Catamounts,Southern WBB
811,Wyoming Cowboys,MWC WBB
61,Bethune-Cookman Wildcats,MEAC WBB
94,Cal State Bakersfield Roadrunners,WAC WBB
228,Florida A&M Rattlers,MEAC WBB
2707,Kansas City Roos,WAC WBB
308,Purdue-Fort Wayne Mastodons,Summit WBB
579,Robert Morris Colonials,NEC WBB
270,Hampton Pirates,MEAC WBB
355,Liberty Flames,Big South WBB
494,North Dakota Fighting Hawks,Big Sky WBB
2,Abilene Christian Wildcats Women's,WAC WBB
721,Air Force Falcons Women's,MWC WBB
5,Akron Zips Women's,MAC WBB
8,Alabama Crimson Tide Women's,SEC WBB
6,Alabama A&M Bulldogs Women's,SWAC WBB
7,Alabama State Hornets Women's,SWAC WBB
17,Alcorn State Braves Women's,SWAC WBB
23,American Eagles Women's,Patriot WBB
27,Appalachian State Mountaineers Women's,Sun Belt WBB
29,Arizona Wildcats Women's,Pac-12 WBB
28,Arizona State Sun Devils Women's,Pac-12 WBB
31,Arkansas Razorbacks Women's,SEC WBB
2678,Arkansas-Pine Bluff Golden Lions Women's,SWAC WBB
725,Army Black Knights Women's,Patriot WBB
37,Auburn Tigers Women's,SEC WBB
43,Austin Peay Governors Women's,A-Sun WBB
47,Ball State Cardinals Women's,MAC WBB
51,Baylor Bears Women's,Big 12 WBB
52,Bellarmine Knights Women's,A-Sun WBB
14927,Belmont Bruins Women's,MVC WBB
61,Bethune-Cookman Wildcats Women's,SWAC WBB
62,Binghamton Bearcats Women's,AEC WBB
66,Boise State Broncos Women's,MWC WBB
67,Boston College Eagles Women's,ACC WBB
72,Bradley Braves Women's,MVC WBB
77,BYU Cougars Women's,Big 12 WBB
80,Brown Bears Women's,Ivy WBB
81,Bryant Bulldogs Women's,AEC WBB
83,Bucknell Bison Women's,Patriot WBB
86,Buffalo Bulls Women's,MAC WBB
87,Butler Bulldogs Women's,Big East WBB
90,Cal Poly Mustangs Women's,Big West WBB
94,Cal State Bakersfield Roadrunners Women's,Big West WBB
97,Cal State Fullerton Titans Women's,Big West WBB
107,California Golden Bears Women's,Pac-12 WBB
30135,California Baptist Lancers Women's,WAC WBB
115,Campbell Fighting Camels Women's,CAA WBB
116,Canisius Golden Griffins Women's,MAAC WBB
1004,Central Arkansas Bears Women's,A-Sun WBB
128,UCF Knights Women's,Big 12 WBB
129,Central Michigan Chippewas Women's,MAC WBB
48,Charleston Southern Buccaneers Women's,Big South WBB
458,Charlotte 49ers Women's,AAC WBB
693,Chattanooga Mocs Women's,Southern WBB
136,Chicago State Cougars Women's,Independent
140,Cincinnati Bearcats Women's,Big 12 WBB
147,Clemson Tigers Women's,ACC WBB
148,Cleveland State Vikings Women's,Horizon WBB
149,Coastal Carolina Chanticleers Women's,Sun Belt WBB
153,Colgate Raiders Women's,Patriot WBB
1014,College of Charleston Cougars Women's,CAA WBB
157,Colorado Buffaloes Women's,Pac-12 WBB
158,Columbia Lions Women's,Ivy WBB
165,Coppin State Eagles Women's,MEAC WBB
167,Cornell Big Red Women's,Ivy WBB
169,Creighton Bluejays Women's,Big East WBB
172,Dartmouth Big Green Women's,Ivy WBB
173,Davidson Wildcats Women's,A-10 WBB
175,Dayton Flyers Women's,A-10 WBB
180,Delaware Fightin' Blue Hens Women's,CAA WBB
178,Delaware State Hornets Women's,MEAC WBB
183,Denver Pioneers Women's,Summit WBB
176,DePaul Blue Demons Women's,Big East WBB
184,Detroit Mercy Titans Women's,Horizon WBB
189,Drake Bulldogs Women's,MVC WBB
191,Drexel Dragons Women's,CAA WBB
193,Duke Blue Devils Women's,ACC WBB
194,Duquesne Dukes Women's,A-10 WBB
196,East Carolina Pirates Women's,AAC WBB
198,ETSU Buccaneers Women's,Southern WBB
201,Eastern Illinois Panthers Women's,OVC WBB
202,Eastern Kentucky Colonels Women's,A-Sun WBB
204,Eastern Michigan Eagles Women's,MAC WBB
207,Eastern Washington Eagles Women's,Big Sky WBB
1068,Elon Phoenix Women's,CAA WBB
219,Evansville Purple Aces Women's,MVC WBB
220,Fairfield Stags Women's,MAAC WBB
222,Fairleigh Dickinson Knights Women's,NEC WBB
235,Florida Gators Women's,SEC WBB
228,Florida A&M Rattlers Women's,SWAC WBB
229,Florida Atlantic Owls Women's,AAC WBB
28755,Florida Gulf Coast Eagles Women's,A-Sun WBB
234,Florida State Seminoles Women's,ACC WBB
236,Fordham Rams Women's,A-10 WBB
96,Fresno State Bulldogs Women's,MWC WBB
244,Furman Paladins Women's,Southern WBB
1092,Gardner-Webb Runnin' Bulldogs Women's,Big South WBB
248,George Mason Patriots Women's,A-10 WBB
249,George Washington Revolutionaries Women's,A-10 WBB
251,Georgetown Hoyas Women's,Big East WBB
257,Georgia Bulldogs Women's,SEC WBB
253,Georgia Southern Eagles Women's,Sun Belt WBB
254,Georgia State Panthers Women's,Sun Belt WBB
255,Georgia Tech Yellow Jackets Women's,ACC WBB
260,Gonzaga Bulldogs Women's,WCC WBB
261,Grambling Tigers Women's,SWAC WBB
1104,Grand Canyon Antelopes Women's,WAC WBB
794,Green Bay Phoenix Women's,Horizon WBB
270,Hampton Pirates Women's,CAA WBB
275,Harvard Crimson Women's,Ivy WBB
277,Hawaii Rainbow Warriors Women's,Big West WBB
19651,High Point Panthers Women's,Big South WBB
283,Hofstra Pride Women's,CAA WBB
285,Holy Cross Crusaders Women's,Patriot WBB
288,Houston Cougars Women's,Big 12 WBB
287,Houston Christian Huskies Women's,Southland WBB
290,Howard Bison Women's,MEAC WBB
295,Idaho Vandals Women's,Big Sky WBB
301,Illinois Fighting Illini Women's,Big Ten WBB
299,Illinois State Redbirds Women's,MVC WBB
302,UIC Flames Women's,MVC WBB
2743,Incarnate Word Cardinals Women's,Southland WBB
306,Indiana Hoosiers Women's,Big Ten WBB
305,Indiana State Sycamores Women's,MVC WBB
310,Iona Gaels Women's,MAAC WBB
312,Iowa Hawkeyes Women's,Big Ten WBB
311,Iowa State Cyclones Women's,Big 12 WBB
2699,IUPUI Jaguars Women's,Horizon WBB
316,Jacksonville Dolphins Women's,A-Sun WBB
317,James Madison Dukes Women's,Sun Belt WBB
328,Kansas Jayhawks Women's,Big 12 WBB
2707,Kansas City Roos Women's,Summit WBB
327,Kansas State Wildcats Women's,Big 12 WBB
1157,Kennesaw State Owls Women's,A-Sun WBB
331,Kent State Golden Flashes Women's,MAC WBB
334,Kentucky Wildcats Women's,SEC WBB
342,Lafayette Leopards Women's,Patriot WBB
346,Lamar Cardinals Women's,Southland WBB
349,Le Moyne Dolphins Women's,NEC WBB
352,Lehigh Mountain Hawks Women's,Patriot WBB
355,Liberty Flames Women's,CUSA WBB
28600,Lipscomb Bisons Women's,A-Sun WBB
99,Long Beach State Beach Women's,Big West WBB
363,Longwood Lancers Women's,Big South WBB
671,Louisiana Ragin' Cajuns Women's,Sun Belt WBB
366,Louisiana Tech Bulldogs Women's,CUSA WBB
367,Louisville Cardinals Women's,ACC WBB
370,Loyola Marymount Lions Women's,WCC WBB
380,Maine Black Bears Women's,AEC WBB
381,Manhattan Jaspers Women's,MAAC WBB
386,Marist Red Foxes Women's,MAAC WBB
387,Marquette Golden Eagles Women's,Big East WBB
388,Marshall Thundering Herd Women's,Sun Belt WBB
392,Maryland Terrapins Women's,Big Ten WBB
393,Maryland-Eastern Shore Hawks Women's,MEAC WBB
400,UMass Minutemen Women's,A-10 WBB
402,McNeese State Cowboys Women's,Southland WBB
404,Memphis Tigers Women's,AAC WBB
406,Mercer Bears Women's,Southern WBB
410,Merrimack Warriors Women's,NEC WBB
418,Michigan Wolverines Women's,Big Ten WBB
416,Michigan State Spartans Women's,Big Ten WBB
419,Middle Tennessee Blue Raiders Women's,CUSA WBB
797,Milwaukee Panthers Women's,Horizon WBB
428,Minnesota Golden Gophers Women's,Big Ten WBB
433,Ole Miss Rebels Women's,SEC WBB
430,Mississippi State Bulldogs Women's,SEC WBB
432,Mississippi Valley State Delta Devils Women's,SWAC WBB
434,Missouri Tigers Women's,SEC WBB
439,Monmouth Hawks Women's,CAA WBB
441,Montana Grizzlies Women's,Big Sky WBB
440,Montana State Bobcats Women's,Big Sky WBB
444,Morehead State Eagles Women's,OVC WBB
