Rk,Season,Date,School,,Opponent,Type,,GS,MP,FG,FGA,FG%,two_P,two_PA, two_P%,three_P,three_PA,three_P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
11,2018-19,2019-01-28,Vanderbilt,@,South Carolina,REG,L,0,15,2,6,.333,2,4,.500,0,2,.000,1,1,1.000,1,1,2,0,0,0,0,0,5
12,2018-19,2019-01-31,Vanderbilt,@,Texas A&M,REG,L,0,31,9,19,.474,5,11,.455,4,8,.500,2,4,.500,3,3,6,0,0,0,0,3,24
13,2018-19,2019-02-03,Vanderbilt,,Tennessee,REG,L,0,19,1,4,.250,1,3,.333,0,1,.000,4,6,.667,1,2,3,1,0,0,0,2,6
14,2018-19,2019-02-10,Vanderbilt,@,Missouri,REG,L,0,21,2,8,.250,0,3,.000,2,5,.400,3,4,.750,3,2,5,1,0,0,1,3,9
15,2018-19,2019-02-14,Vanderbilt,@,Ole Miss,REG,L,0,26,3,6,.500,2,4,.500,1,2,.500,2,4,.500,2,6,8,3,1,0,2,4,9
16,2018-19,2019-02-17,Vanderbilt,,LSU,REG,L,0,18,1,4,.250,0,0,,1,4,.250,0,0,,0,3,3,1,2,0,5,2,3
17,2018-19,2019-02-21,Vanderbilt,,Alabama,REG,L,0,25,4,8,.500,1,3,.333,3,5,.600,2,5,.400,0,1,1,4,1,0,3,2,13
18,2018-19,2019-02-24,Vanderbilt,@,Mississippi State,REG,L,0,15,2,3,.667,2,2,1.000,0,1,.000,2,2,1.000,1,4,5,0,0,1,0,4,6
19,2018-19,2019-02-28,Vanderbilt,@,Tennessee,REG,W,1,23,2,4,.500,1,2,.500,1,2,.500,1,2,.500,1,0,1,1,0,0,1,2,6
20,2018-19,2019-03-03,Vanderbilt,,Florida,REG,L,1,28,4,11,.364,1,6,.167,3,5,.600,1,2,.500,2,3,5,1,1,0,3,5,12
21,2018-19,2019-03-06,Vanderbilt,@,Alabama,CTOURN,L,1,26,5,10,.500,2,2,1.000,3,8,.375,0,0,,1,2,3,1,2,1,3,4,13
22,2019-20,2019-11-05,Vanderbilt,,Jacksonville State,REG,W,1,24,9,15,.600,8,11,.727,1,4,.250,1,1,1.000,2,2,4,3,4,0,1,3,20
23,2019-20,2019-11-08,Vanderbilt,,Radford,REG,W,1,23,4,9,.444,3,7,.429,1,2,.500,2,2,1.000,1,3,4,1,1,1,0,1,11
24,2019-20,2019-11-13,Vanderbilt,,UConn,REG,L,1,31,4,11,.364,3,6,.500,1,5,.200,2,2,1.000,3,2,5,0,0,0,3,2,11
25,2019-20,2019-11-17,Vanderbilt,,Saint Louis,REG,W,1,25,7,13,.538,4,7,.571,3,6,.500,0,0,,1,2,3,0,3,0,5,2,17
26,2019-20,2019-11-22,Vanderbilt,,Furman,REG,W,1,26,7,14,.500,4,6,.667,3,8,.375,0,1,.000,2,2,4,1,0,0,1,1,17
27,2019-20,2019-11-25,Vanderbilt,@,Tennessee State,REG,W,1,17,6,10,.600,4,5,.800,2,5,.400,1,2,.500,1,1,2,0,1,0,2,2,15
28,2019-20,2019-11-28,Vanderbilt,@,Rutgers,REG,L,1,7,1,4,.250,0,1,.000,1,3,.333,0,0,,0,1,1,0,1,0,0,0,3
29,2020-21,2020-12-05,Vanderbilt,@,Little Rock,REG,L,1,32,2,12,.167,1,7,.143,1,5,.200,0,0,,1,5,6,3,1,0,5,2,5
30,2020-21,2020-12-08,Vanderbilt,,ETSU,REG,W,1,34,3,14,.214,1,5,.200,2,9,.222,3,4,.750,3,2,5,2,1,1,4,4,11
31,2020-21,2020-12-13,Vanderbilt,@,Chattanooga,REG,W,1,36,5,18,.278,3,9,.333,2,9,.222,2,2,1.000,1,1,2,1,0,0,2,2,14
32,2020-21,2020-12-17,Vanderbilt,,VCU,REG,W,1,30,7,16,.438,6,12,.500,1,4,.250,5,7,.714,3,6,9,4,1,0,3,3,20
33,2020-21,2020-12-20,Vanderbilt,,Gardner-Webb,REG,W,1,23,4,12,.333,3,6,.500,1,6,.167,0,0,,1,2,3,4,0,1,3,4,9
34,2021-22,2021-11-09,Vanderbilt,,Gardner-Webb,REG,W,1,37,8,18,.444,7,14,.500,1,4,.250,3,4,.750,3,4,7,2,2,0,1,2,20
35,2021-22,2021-11-12,Vanderbilt,,Little Rock,REG,L,1,32,2,6,.333,1,3,.333,1,3,.333,2,4,.500,0,6,6,3,1,0,4,4,7
36,2021-22,2021-11-15,Vanderbilt,@,Middle Tennessee,REG,L,1,37,3,8,.375,3,8,.375,0,0,,3,3,1.000,0,2,2,0,3,1,3,2,9
37,2021-22,2021-11-18,Vanderbilt,,Tennessee Tech,REG,W,1,31,6,14,.429,6,12,.500,0,2,.000,1,1,1.000,2,1,3,2,3,0,3,1,13
38,2021-22,2021-11-21,Vanderbilt,,Jacksonville State,REG,W,1,32,5,11,.455,5,10,.500,0,1,.000,6,10,.600,0,5,5,0,0,0,4,2,16
